"ISA01","835_SEG","1","INTERCHANGE CONTROL HEADER","ISA","1"
"ISA02","835_SEG","2","INTERCHANGE CONTROL HEADER","ISA","2"
"ISA03","835_SEG","3","INTERCHANGE CONTROL HEADER","ISA","3"
"ISA04","835_SEG","4","INTERCHANGE CONTROL HEADER","ISA","4"
"ISA05","835_SEG","5","INTERCHANGE CONTROL HEADER","ISA","5"
"ISA06","835_SEG","6","INTERCHANGE CONTROL HEADER","ISA","6"
"ISA07","835_SEG","7","INTERCHANGE CONTROL HEADER","ISA","7"
"ISA08","835_SEG","8","INTERCHANGE CONTROL HEADER","ISA","8"
"ISA11","835_SEG","11","INTERCHANGE CONTROL HEADER","ISA","11"
"ISA12","835_SEG","12","INTERCHANGE CONTROL HEADER","ISA","12"
"ISA13","835_SEG","13","INTERCHANGE CONTROL HEADER","ISA","13"
"ISA14","835_SEG","14","INTERCHANGE CONTROL HEADER","ISA","14"
"ISA15","835_SEG","15","INTERCHANGE CONTROL HEADER","ISA","15"
"ISA16","835_SEG","16","INTERCHANGE CONTROL HEADER","ISA","16"
"Blank","835_SEG_OPT","[Blank]","ISA02","ISA02","1"
"Blank","835_SEG_OPT","[Blank]","ISA04","ISA04","1"
"Payer ID","835_SEG_OPT","[Payer Id]","ISA06","ISA06","1"
"Facility Name","835_SEG_OPT","[Facility Name]","ISA06","ISA06","1"
"Tax Identification Number","835_SEG_OPT","[Tax Identification Number]","ISA06","ISA06","1"
"Payer Group Id","835_SEG_OPT","[Payer Group Id]","ISA06","ISA06","1"
"Facility Name","835_SEG_OPT","[Facility Name]","ISA08","ISA08","1"
"Tax Identification Number","835_SEG_OPT","[Tax Identification Number]","ISA08","ISA08","1"
"Output Version Code","835_SEG_OPT","[Output Version Code]","ISA11","ISA11","1"
"Output Version","835_SEG_OPT","[Output Version]","ISA12","ISA12","1"
"Interchange Control Number","835_SEG_OPT","[Interchange Control Number]","ISA13","ISA13","1"
"Production Status","835_SEG_OPT","[Production Status]","ISA15","ISA15","1"
"GS01","835_SEG","1","FUNCTIONAL GROUP HEADER","GS","17"
"GS02","835_SEG","2","FUNCTIONAL GROUP HEADER","GS","18"
"GS03","835_SEG","3","FUNCTIONAL GROUP HEADER","GS","19"
"GS04","835_SEG","4","FUNCTIONAL GROUP HEADER","GS","20"
"GS05","835_SEG","5","FUNCTIONAL GROUP HEADER","GS","21"
"GS06","835_SEG","6","FUNCTIONAL GROUP HEADER","GS","22"
"GS07","835_SEG","7","FUNCTIONAL GROUP HEADER","GS","23"
"GS08","835_SEG","8","FUNCTIONAL GROUP HEADER","GS","24"
"Payer Id","835_SEG_OPT","[Payer Id]","GS02","GS02","1"
"Facility Name","835_SEG_OPT","[Facility Name]","GS02","GS02","1"
"Tax Identification Number","835_SEG_OPT","[Tax Identification Number]","GS02","GS02","1"
"Payer Group Id","835_SEG_OPT","[Payer Group Id]","GS02","GS02","1"
"Facility Name","835_SEG_OPT","[Facility Name]","GS03","GS03","1"
"Tax Identification Number","835_SEG_OPT","[Tax Identification Number]","GS03","GS03","1"
"Payer Id With Left Padded X's","835_SEG_OPT","[Payer Id With Left Padded X's]","GS03","GS03","1"
"Batch Date","835_SEG_OPT","[Batch Date]","GS04","GS04","1"
"System-Generated Date","835_SEG_OPT","[System-Generated Date]","GS04","GS04","1"
"System-Generated Time","835_SEG_OPT","[System-Generated Time]","GS05","GS05","1"
"Output Version","835_SEG_OPT","[Output Version]","GS08","GS08","1"
"ST02","835_SEG","2","TRANSACTION SET HEADER","ST","25"
"Sequential Counter","835_SEG_OPT","[Sequential Counter]","ST02","ST02","1"
"9 Digits-Sequential Counter","835_SEG_OPT","[9 Digits-Sequential Counter]","ST02","ST02","1"
"BPR01","835_SEG","1"," FINANCIAL INFORMATION","BPR","26"
"BPR02","835_SEG","2"," FINANCIAL INFORMATION","BPR","27"
"BPR03","835_SEG","3"," FINANCIAL INFORMATION","BPR","28"
"BPR04","835_SEG","4"," FINANCIAL INFORMATION","BPR","29"
"BPR05","835_SEG","5"," FINANCIAL INFORMATION","BPR","30"
"BPR06","835_SEG","6"," FINANCIAL INFORMATION","BPR","31"
"BPR07","835_SEG","7"," FINANCIAL INFORMATION","BPR","32"
"BPR08","835_SEG","8"," FINANCIAL INFORMATION","BPR","33"
"BPR09","835_SEG","9"," FINANCIAL INFORMATION","BPR","34"
"BPR10","835_SEG","10"," FINANCIAL INFORMATION","BPR","35"
"BPR11","835_SEG","11"," FINANCIAL INFORMATION","BPR","36"
"BPR12","835_SEG","12"," FINANCIAL INFORMATION","BPR","37"
"BPR13","835_SEG","13"," FINANCIAL INFORMATION","BPR","38"
